Kunde;Lieferdatum;Jahr;Eingang;Ausgang;Total an Lager ESG;Preis pro Büchlein;Betrag in SFr.;Lieferungsart;Rechnungsart
Apotheke an der Langgasse;2016-06-15;2016;;2;;;164.6;abgeholt;Rechnung
Falken-Drogerie;2016-06-29;2016;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2016-07-19;2016;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2016-07-21;2016;;5;;;411.5;gebracht;Rechnung
Kiosk Silberturm;2016-07-22;2016;;5;;;411.5;gebracht;Rechnung
Stern-Apotheke;2016-08-04;2016;;10;;;823.0;gebracht;Rechnung
Spar Markt Wolfganghof;2016-09-08;2016;;10;;;823.0;gebracht;Rechnung
Kiosk Silberturm;2016-09-23;2016;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Poststrasse;2016-10-13;2016;;6;;;493.79999999999995;abgeholt;Rechnung
Maxi Markt;2016-10-21;2016;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2016-10-27;2016;;20;;;1646.0;gebracht;Rechnung
Falken-Drogerie;2016-10-27;2016;;10;;;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2016-11-10;2016;;5;;;411.5;gebracht;Rechnung
CareLand Apotheke;2016-11-22;2016;;15;;;1234.5;gebracht;Rechnung
Kiosk Neudorf;2016-11-24;2016;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2016-12-07;2016;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Poststrasse;2016-12-13;2016;;6;;;493.79999999999995;abgeholt;Rechnung
Kloster-Drogerie;2016-12-14;2016;;5;;;411.5;gebracht;Rechnung
Agrola Shop Riethüsli;2017-01-04;2017;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2017-01-13;2017;;30;;;2469.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2017-01-17;2017;;30;;;2469.0;abgeholt;Rechnung
Langgass-Drogerie;2017-01-20;2017;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2017-01-26;2017;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2017-02-10;2017;;2;;;164.6;gebracht;Rechnung
St.Jakob-Apotheke;2017-02-14;2017;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2017-02-27;2017;;2;;;164.6;gebracht;Rechnung
Bäckerei Gschwend;2017-02-28;2017;;3;;;246.89999999999998;gebracht;Rechnung
Drogerie Lachen;2017-03-01;2017;;20;;;1646.0;gebracht;Rechnung
Löwen-Apotheke;2017-03-02;2017;;3;;;246.89999999999998;gebracht;Rechnung
Kloster-Drogerie;2017-03-15;2017;;6;;;493.79999999999995;gebracht;Rechnung
Lebensmittel Hagenbuch 26;2017-04-06;2017;;5;;;411.5;gebracht;Rechnung
VBSG-Verkaufsstelle;2017-04-06;2017;;30;;;2469.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2017-05-16;2017;;20;;;1646.0;gebracht;Rechnung
Gallus Apotheke;2017-05-23;2017;;2;;;164.6;abgeholt;Rechnung
Apotheke an der Langgasse;2017-06-22;2017;;2;;;164.6;abgeholt;Rechnung
Bäckerei Schwyter Riethüsli;2017-06-27;2017;;3;;;246.89999999999998;gebracht;Rechnung
St.Fiden-Apotheke;2017-07-05;2017;;15;;;1234.5;gebracht;Rechnung
Bäckerei Wernli;2017-07-05;2017;;2;;;164.6;gebracht;Rechnung
Apotheke an der Langgasse;2017-07-19;2017;;2;;;164.6;abgeholt;Rechnung
Maxi Markt;2017-07-26;2017;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2017-08-02;2017;;30;;;2469.0;abgeholt;Rechnung
Falken-Drogerie;2017-08-07;2017;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2017-08-16;2017;;5;;;411.5;gebracht;Rechnung
Denner Satellit;2017-08-28;2017;;5;;;411.5;gebracht;Rechnung
Maxi Markt;2017-08-31;2017;;5;;;411.5;gebracht;Rechnung
Falken-Drogerie;2017-09-04;2017;;10;;;823.0;gebracht;Rechnung
Bruggen Apotheke;2017-09-05;2017;;40;;;3292.0;gebracht;Rechnung
Kiosk Silberturm;2017-09-19;2017;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2017-09-29;2017;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2017-09-29;2017;;10;;;823.0;gebracht;Rechnung
Bäckerei Frei;2017-10-05;2017;;4;;;329.2;gebracht;Rechnung
Kiosk Migros Bach;2017-10-11;2017;;5;;;411.5;gebracht;Rechnung
Metzgerei Signer;2017-10-12;2017;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Neudorf;2017-10-18;2017;;10;;;823.0;gebracht;Rechnung
St.Fiden-Apotheke;2017-11-06;2017;;15;;;1234.5;gebracht;Rechnung
St.Jakob-Apotheke;2017-11-07;2017;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2017-11-29;2017;;3;;;246.89999999999998;gebracht;Rechnung
VBSG-Verkaufsstelle;2018-01-17;2018;;20;;;1646.0;gebracht;Rechnung
Kiosk Neudorf;2018-01-17;2018;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2018-02-06;2018;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2018-02-27;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Müller, lebe deinen Genuss;2018-03-09;2018;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2018-04-17;2018;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2018-04-24;2018;;5;;;411.5;gebracht;Rechnung
Bäckerei Gschwend;2018-04-25;2018;;4;;;329.2;gebracht;Rechnung
Langgass-Drogerie;2018-05-02;2018;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2018-05-03;2018;;3;;;246.89999999999998;gebracht;Rechnung
Drogerie Lachen;2018-05-11;2018;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2018-05-14;2018;;5;;;411.5;gebracht;Rechnung
Kiosk Silberturm;2018-05-15;2018;;10;;;823.0;gebracht;Rechnung
Müller, lebe deinen Genuss;2018-05-23;2018;;10;;;823.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2018-05-31;2018;;20;;;1646.0;gebracht;Rechnung
Drogerie Lachen;2018-06-04;2018;;20;;;1646.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2018-06-19;2018;;3;;;246.89999999999998;gebracht;Rechnung
Löwen-Apotheke;2018-06-29;2018;;3;;;246.89999999999998;gebracht;Rechnung
Drogerie Lachen;2018-07-03;2018;;20;;;1646.0;gebracht;Rechnung
Maxi Markt;2018-07-06;2018;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2018-08-06;2018;;20;;;1646.0;gebracht;Rechnung
Denner Satellit;2018-08-27;2018;;5;;;411.5;gebracht;Rechnung
Kiosk Neudorf;2018-09-05;2018;;10;;;823.0;gebracht;Rechnung
Bäckerei Frei;2018-09-11;2018;;4;;;329.2;gebracht;Rechnung
Kiosk Silberturm;2018-09-25;2018;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2018-10-02;2018;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2018-10-18;2018;;5;;;411.5;gebracht;Rechnung
Kiosk Migros Bach;2018-10-26;2018;;10;;;823.0;gebracht;Rechnung
Metzgerei Signer;2018-10-31;2018;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Neudorf;2018-11-09;2018;;10;;;823.0;gebracht;Rechnung
Stern-Apotheke;2018-11-12;2018;;10;;;823.0;gebracht;Rechnung
St.Fiden-Apotheke;2018-11-13;2018;;20;;;1646.0;gebracht;Rechnung
Spar Markt Wolfganghof;2018-11-14;2018;;10;;;823.0;gebracht;Rechnung
Kiosk Silberturm;2018-11-15;2018;;10;;;823.0;gebracht;Rechnung
CareLand Apotheke;2018-11-30;2018;;3;;;246.89999999999998;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2019-01-04;2019;;20;;;1646.0;gebracht;Rechnung
Apotheke an der Langgasse;2019-01-16;2019;;4;;;329.2;abgeholt;Rechnung
Kiosk Neudorf;2019-01-24;2019;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2019-01-29;2019;;10;;;823.0;gebracht;Rechnung
St.Jakob-Apotheke;2019-02-01;2019;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2019-02-05;2019;;5;;;411.5;gebracht;Rechnung
Denner Satellit;2019-02-06;2019;;5;;;411.5;gebracht;Rechnung
Müller, lebe deinen Genuss;2019-02-12;2019;;10;;;823.0;gebracht;Rechnung
Kloster-Drogerie;2019-02-19;2019;;5;;;411.5;gebracht;Rechnung
Velo Stern;2019-03-12;2019;;3;;;246.89999999999998;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-03-14;2019;;30;;;2469.0;gebracht;Rechnung
Kiosk Migros Bach;2019-03-25;2019;;10;;;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2019-04-24;2019;;6;;;493.79999999999995;abgeholt;Rechnung
St.Jakob-Apotheke;2019-05-21;2019;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2019-06-20;2019;;10;;;823.0;gebracht;Rechnung
Sanitär Wirth AG (Endverbraucher);2019-06-24;2019;;10;;;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2019-06-26;2019;;30;;;2469.0;gebracht;Rechnung
Drogerie Lachen;2019-06-27;2019;;20;;;1646.0;gebracht;Rechnung
Apotheke an der Langgasse;2019-07-10;2019;;3;;;246.89999999999998;abgeholt;Rechnung
Amavita Apotheke Gallusmarkt;2019-07-10;2019;;30;;;2469.0;gebracht;Rechnung
Löwen-Apotheke;2019-07-16;2019;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Migros Bach;2019-08-05;2019;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-08-07;2019;;30;;;2469.0;gebracht;Rechnung
St.Jakob-Apotheke;2019-08-07;2019;;10;;;823.0;gebracht;Rechnung
Drogerie Lachen;2019-08-09;2019;;20;;;1646.0;gebracht;Rechnung
Apotheke an der Langgasse;2019-08-22;2019;;3;;;246.89999999999998;abgeholt;Rechnung
VBSG-Verkaufsstelle;2019-09-05;2019;;30;;;2469.0;gebracht;Rechnung
Drogerie Lachen;2019-09-06;2019;;20;;;1646.0;abgeholt;Rechnung
Kiosk Migros Bach;2019-09-16;2019;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2019-10-02;2019;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2019-10-04;2019;;3;;;246.89999999999998;abgeholt;Rechnung
Kiosk Neudorf;2019-10-09;2019;;10;;;823.0;gebracht;Rechnung
Spar Markt Wolfganghof;2019-10-24;2019;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2019-10-28;2019;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-10-29;2019;;30;;;2469.0;gebracht;Rechnung
St.Fiden-Apotheke;2019-11-04;2019;;20;;;1646.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2019-11-05;2019;;30;;;2469.0;gebracht;Rechnung
Bäckerei Gschwend;2019-12-02;2019;;3;;;246.89999999999998;gebracht;Rechnung
Bäckerei Schwyter Schoren;2019-12-10;2019;;2;;;164.6;gebracht;Rechnung
Kiosk Migros Bach;2019-12-13;2019;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2019-12-13;2019;;10;;;823.0;gebracht;Rechnung
St.Jakob-Apotheke;2019-12-19;2019;;10;;;823.0;gebracht;Rechnung
Drogerie Lachen;2019-12-24;2019;;20;;;1646.0;gebracht;Rechnung
Kiosk Neudorf;2020-01-07;2020;;10;215;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2020-01-09;2020;;2;1099;82.3;164.6;abgeholt;Rechnung
CareLand Apotheke;2020-01-10;2020;;5;1074;82.3;411.5;gebracht;Rechnung
VBSG-Verkaufsstelle;2020-01-13;2020;;30;1043;82.3;2469.0;gebracht;Rechnung
Gallus Apotheke;2020-01-29;2020;;2;1034;82.3;164.6;gebracht;Rechnung
Apotheke an der Langgasse;2020-02-11;2020;;2;972;82.3;164.6;abgeholt;Rechnung
Drogerie Lachen;2020-02-05;2020;;20;952;82.3;1646.0;abgeholt;Rechnung
Kiosk Neudorf;2020-02-06;2020;;10;932;82.3;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2020-02-12;2020;;10;922;82.3;823.0;gebracht;Rechnung
Agrola Shop Riethüsli;2020-02-19;2020;;4;895;82.3;329.2;gebracht;Rechnung
Bruggen Apotheke;2020-02-25;2020;;80;808;82.3;6584.0;gebracht;Rechnung
Falken-Drogerie;2020-03-04;2020;;10;738;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2020-03-12;2020;;2;726;82.3;164.6;abgeholt;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2020-03-16;2020;;30;695;82.3;2469.0;gebracht;Rechnung
Bäckerei Gschwend;2020-03-24;2020;;3;646;82.3;246.89999999999998;gebracht;Rechnung
Falken-Drogerie;2020-04-09;2020;;10;610;82.3;823.0;gebracht;Rechnung
Metzgerei Signer;2020-04-09;2020;;4;606;82.3;329.2;gebracht;Rechnung
Kiosk Langgasse 20;2020-04-22;2020;;2;454;82.3;164.6;gebracht;Rechnung
Löwen-Apotheke;2020-04-22;2020;;2;450;82.3;164.6;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2020-04-27;2020;;30;420;82.3;2469.0;gebracht;Rechnung
Maxi Markt;2020-05-11;2020;;5;380;82.3;411.5;gebracht;Rechnung
Bäckerei Gschwend;2020-05-12;2020;;4;346;82.3;329.2;gebracht;Rechnung
Langgass-Drogerie;2020-05-19;2020;;10;336;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2020-06-04;2020;;10;1141;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2020-06-04;2020;;10;1131;82.3;823.0;gebracht;Rechnung
Langgass-Drogerie;2020-06-22;2020;;10;1020;82.3;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2020-06-25;2020;;30;983;82.3;2469.0;gebracht;Rechnung
Alpstein Drogerie;2020-06-29;2020;;30;941;82.3;2469.0;gebracht;Rechnung
Löwen-Apotheke;2020-06-29;2020;;5;936;82.3;411.5;gebracht;Rechnung
St.Jakob-Apotheke;2020-07-03;2020;;10;871;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2020-07-07;2020;;10;854;82.3;823.0;gebracht;Rechnung
Langgass-Drogerie;2020-07-14;2020;;10;844;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2020-07-15;2020;;10;834;82.3;823.0;gebracht;Rechnung
Bruggen Apotheke;2020-07-17;2020;;80;754;82.3;6584.0;gebracht;Rechnung
Agrola Shop Riethüsli;2020-07-23;2020;;4;736;82.3;329.2;gebracht;Rechnung
Kiosk Neudorf;2020-07-24;2020;;10;721;82.3;823.0;gebracht;Rechnung
Spar Markt Wolfganghof;2020-07-24;2020;;10;711;82.3;823.0;gebracht;Rechnung
Drogerie Lachen;2020-08-03;2020;;20;585;82.3;1646.0;abgeholt;Rechnung
Falken-Drogerie;2020-08-12;2020;;10;560;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2020-08-31;2020;;10;485;82.3;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2020-09-07;2020;;2;422;82.3;164.6;gebracht;Rechnung
CareLand Apotheke;2020-09-14;2020;;5;402;82.3;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2020-09-22;2020;;3;309;82.3;246.89999999999998;abgeholt;Rechnung
Amavita Apotheke Poststrasse;2020-09-23;2020;;5;304;82.3;411.5;abgeholt;Rechnung
Spar Markt Wolfganghof;2020-09-23;2020;;10;284;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2020-09-30;2020;;3;251;82.3;246.89999999999998;gebracht;Rechnung
Apotheke an der Langgasse;2020-09-30;2020;;3;248;82.3;246.89999999999998;abgeholt;Rechnung
Metzgerei Signer;2020-10-06;2020;;3;245;82.3;246.89999999999998;gebracht;Rechnung
Bäckerei Schwyter Schoren;2020-10-14;2020;;3;209;82.3;246.89999999999998;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2020-10-20;2020;;20;654;82.3;1646.0;gebracht;Rechnung
Sanitär Wirth AG (Endverbraucher);2020-10-20;2020;;10;644;86.0;860.0;gebracht;Rechnung
Gallus Apotheke;2020-10-27;2020;;2;632;82.3;164.6;gebracht;Rechnung
Maxi Markt;2020-10-28;2020;;5;612;82.3;411.5;gebracht;Rechnung
St.Jakob-Apotheke;2020-10-29;2020;;10;602;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2020-11-02;2020;;3;574;82.3;246.89999999999998;gebracht;Rechnung
Falken-Drogerie;2020-11-10;2020;;10;551;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2020-11-18;2020;;10;513;82.3;823.0;gebracht;Rechnung
Kiosk Langgasse 20;2020-11-26;2020;;1;478;82.3;82.3;gebracht;Rechnung
St.Fiden-Apotheke;2020-11-26;2020;;30;448;82.3;2469.0;gebracht;Rechnung
Bäckerei Gschwend;2020-12-22;2020;;4;269;82.3;329.2;gebracht;Rechnung
Kiosk Langgasse 20;2021-01-04;2021;;1;242;82.3;82.3;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2021-01-04;2021;;10;202;82.3;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2021-01-04;2021;;2;168;82.3;164.6;gebracht;Rechnung
Amavita Apotheke Poststrasse;2021-01-19;2021;;3;851;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Migros Bach;2021-01-20;2021;;10;841;82.3;823.0;gebracht;Rechnung
Kiosk Langgasse 20;2021-01-21;2021;;1;840;82.3;82.3;gebracht;Rechnung
Falken-Drogerie;2021-01-27;2021;;10;830;82.3;823.0;gebracht;Rechnung
Müller, lebe deinen Genuss;2021-01-29;2021;;10;778;82.3;823.0;gebracht;Rechnung
Kloster-Drogerie;2021-02-09;2021;;4;741;82.3;329.2;gebracht;Rechnung
St.Jakob-Apotheke;2021-02-17;2021;;10;712;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2021-02-25;2021;;10;642;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2021-03-19;2021;;10;499;82.3;823.0;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2021-03-23;2021;;4;495;82.3;329.2;gebracht;Rechnung
Kiosk Silberturm;2021-03-31;2021;;10;428;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2021-04-14;2021;;10;392;82.3;823.0;gebracht;Rechnung
Kiosk Neudorf;2021-04-15;2021;;10;377;82.3;823.0;gebracht;Rechnung
Maxi Markt;2021-04-23;2021;;5;317;82.3;411.5;gebracht;Rechnung
CareLand Apotheke;2021-04-23;2021;;5;312;82.3;411.5;gebracht;Rechnung
Falken-Drogerie;2021-04-29;2021;;10;283;82.3;823.0;gebracht;Rechnung
Bruggen Apotheke;2021-05-05;2021;;40;903;82.3;3292.0;gebracht;Rechnung
Kiosk Migros Bach;2021-05-26;2021;;10;796;82.3;823.0;gebracht;Rechnung
Kiosk Langgasse 20;2021-06-09;2021;;3;733;82.3;246.89999999999998;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2021-06-15;2021;;5;721;82.3;411.5;gebracht;Rechnung
Falken-Drogerie;2021-07-06;2021;;10;574;82.3;823.0;gebracht;Rechnung
Maxi Markt;2021-07-19;2021;;5;522;82.3;411.5;gebracht;Rechnung
Bruggen Apotheke;2021-07-22;2021;;80;442;82.3;6584.0;gebracht;Rechnung
St.Jakob-Apotheke;2021-07-23;2021;;10;432;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2021-08-10;2021;;10;380;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2021-08-11;2021;;4;360;82.3;329.2;gebracht;Rechnung
Bäckerei Schwyter Schoren;2021-08-11;2021;;4;346;82.3;329.2;gebracht;Rechnung
Maxi Markt;2021-08-18;2021;;5;306;82.3;411.5;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2021-08-18;2021;;4;292;82.3;329.2;gebracht;Rechnung
VBSG-Verkaufsstelle;2021-08-20;2021;;50;242;82.3;4115.0;gebracht;Rechnung
CareLand Apotheke;2021-08-30;2021;;5;929;82.3;411.5;gebracht;Rechnung
Löwen-Apotheke;2021-08-30;2021;;5;924;82.3;411.5;gebracht;Rechnung
Kiosk Migros Bach;2021-10-27;2021;;10;634;82.3;823.0;gebracht;Rechnung
Lachen Drogerie;2021-10-28;2021;;20;584;82.3;1646.0;gebracht;Rechnung
Maxi Markt;2021-11-05;2021;;5;569;82.3;411.5;gebracht;Rechnung
Kloster-Drogerie;2021-11-16;2021;;10;544;82.3;823.0;gebracht;Rechnung
CareLand Apotheke;2021-11-16;2021;;5;539;82.3;411.5;gebracht;Rechnung
Falken-Drogerie;2021-11-19;2021;;10;519;82.3;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2021-12-06;2021;;30;455;82.3;2469.0;gebracht;Rechnung
Maxi Markt;2021-12-08;2021;;5;430;82.3;411.5;gebracht;Rechnung
Bruggen Apotheke;2022-01-04;2022;;40;1040;82.3;3292.0;gebracht;Rechnung
Kiosk Langgasse 20;2022-01-20;2022;;2;985;82.3;164.6;gebracht;Rechnung
Falken-Drogerie;2022-01-24;2022;;10;975;82.3;823.0;gebracht;Rechnung
CareLand Apotheke;2022-01-24;2022;;5;970;82.3;411.5;gebracht;Rechnung
Löwen-Apotheke;2022-01-25;2022;;4;945;82.3;329.2;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2022-02-07;2022;;10;852;82.3;823.0;gebracht;Rechnung
Stern-Apotheke;2022-03-04;2022;;5;682;82.3;411.5;gebracht;Rechnung
Gallus Apotheke;2022-03-16;2022;;3;594;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Neudorf;2022-03-28;2022;;10;570;82.3;823.0;gebracht;Rechnung
Lachen Drogerie;2022-04-08;2022;;20;463;82.3;1646.0;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2022-04-12;2022;;4;459;82.3;329.2;gebracht;Rechnung
Bäckerei Frei;2022-04-20;2022;;6;448;82.3;493.79999999999995;gebracht;Rechnung
Müller, lebe deinen Genuss;2022-04-27;2022;;10;389;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2022-04-27;2022;;6;383;82.3;493.79999999999995;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2022-05-03;2022;;10;348;82.3;823.0;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2022-05-11;2022;;4;261;82.3;329.2;gebracht;Rechnung
Kiosk Silberturm;2022-05-18;2022;;10;1001;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2022-05-20;2022;;10;971;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2022-06-09;2022;;10;907;82.3;823.0;gebracht;Rechnung
Kiosk Neudorf;2022-06-09;2022;;10;897;82.3;823.0;gebracht;Rechnung
Lachen Drogerie;2022-06-21;2022;;20;817;82.3;1646.0;gebracht;Rechnung
St.Jakob-Apotheke;2022-07-01;2022;;10;728;82.3;823.0;gebracht;Rechnung
LAVEBA Shop Riethüsli;2022-07-11;2022;;10;688;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2022-07-13;2022;;10;678;82.3;823.0;gebracht;Rechnung
Stern-Apotheke;2022-08-03;2022;;5;502;82.3;411.5;gebracht;Rechnung
Bäckerei Schwyter Schoren;2022-08-23;2022;;4;453;82.3;329.2;gebracht;Rechnung
Kiosk Migros Bach;2022-08-30;2022;;10;433;82.3;823.0;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2022-09-06;2022;;10;367;82.3;823.0;gebracht;Rechnung
Bruggen Apotheke;2022-09-20;2022;;40;272;82.3;3292.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2022-09-27;2022;;30;232;82.3;2469.0;gebracht;Rechnung
Falken-Drogerie;2022-09-30;2022;;10;217;82.3;823.0;gebracht;Rechnung
Eingang Marken an Lager ESG;2022-09-29;2022;750;;967;82.3;0.0;;
Kiosk Neudorf;2022-11-23;2022;;10;732;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2022-12-19;2022;;4;608;82.3;329.2;gebracht;Rechnung
Bäckerei Schwyter Schoren;2022-12-27;2022;;3;605;82.3;246.89999999999998;gebracht;Rechnung
Falken-Drogerie;2022-12-27;2022;;10;595;82.3;823.0;gebracht;Rechnung
Maxi Markt;2023-01-04;2023;;5;520;82.3;411.5;gebracht;Rechnung
Müller, lebe deinen Genuss;2023-01-17;2023;;10;5465;82.3;823.0;gebracht;Rechnung
Maxi Markt;2023-02-06;2023;;5;5340;82.3;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2016-01-04;2016;;2;;;164.6;abgeholt;Rechnung
